,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,stem_len,root_len,ag2,bg2,total_biomass,log_total_biomass,co2_lvl,co2_cat,water_low,water_fluct,water_high,treatment
7,8,CEOC,1,3,Fluct,2,0.0127,0.0713,0.9,1.5,,,,0.084,-2.4769384801388235,0,Ambient,0,1,0,CO2Amb_WA
10,11,CEOC,1,2,Fluct,4,0.0059,0.0045,0.52,1.7,,,,0.0104,-4.56594947283481,0,Ambient,0,1,0,CO2Amb_WA
13,14,CEOC,1,1,Fluct,6,0.0186,0.034,1.25,2.0,,,,0.0526,-2.945039159238473,0,Ambient,0,1,0,CO2Amb_WA
15,16,CEOC,2,2,Fluct,1,0.0358,0.0233,1.02,3.0,,,,0.0591,-2.8285243545700847,0,Ambient,0,1,0,CO2Amb_WA
18,19,CEOC,2,3,Fluct,3,0.0129,0.0126,0.9,1.9,,,,0.025500000000000002,-3.6690768268177565,0,Ambient,0,1,0,CO2Amb_WA
21,22,CEOC,2,1,Fluct,5,0.017,0.0187,0.91,1.7,,,,0.0357,-3.3326045901965435,0,Ambient,0,1,0,CO2Amb_WA
23,24,CEOC,3,2,Fluct,1,0.0655,0.0555,1.01,4.4,,,,0.121,-2.111964733385396,1,High,0,1,0,CO2High_WA
25,26,CEOC,3,3,Fluct,2,0.0578,0.0247,0.91,3.6,,,,0.08249999999999999,-2.494956985641502,1,High,0,1,0,CO2High_WA
28,29,CEOC,3,1,Fluct,4,0.0169,0.0097,0.59,1.8,,,,0.0266,-3.6268440631944836,1,High,0,1,0,CO2High_WA
35,36,CEOC,4,3,Fluct,3,0.0168,0.008,0.76,2.9,,,,0.0248,-3.6969116258112007,1,High,0,1,0,CO2High_WA
38,39,CEOC,4,2,Fluct,5,0.03295,0.03195,0.98,3.5,,0.0381,0.0345,0.0649,-2.734907655272093,1,High,0,1,0,CO2High_WA
40,41,CEOC,4,1,Fluct,6,0.0284,0.0715,1.09,2.5,,,,0.09989999999999999,-2.3035855933276292,1,High,0,1,0,CO2High_WA
5,6,CEOC,1,2,High,1,0.0077,0.0078,0.78,1.0,,,,0.0155,-4.166915255056936,0,Ambient,0,0,1,CO2Amb_WH
8,9,CEOC,1,1,High,3,0.0073,0.031,0.8,1.0,,,,0.0383,-3.2623053827955366,0,Ambient,0,0,1,CO2Amb_WH
11,12,CEOC,1,3,High,5,0.0091,0.0584,0.9,1.2,,,,0.0675,-2.695627681103653,0,Ambient,0,0,1,CO2Amb_WH
16,17,CEOC,2,1,High,2,0.0047,0.0061,0.62,1.2,2.4,,,0.0108,-4.528209144851963,0,Ambient,0,0,1,CO2Amb_WH
22,23,CEOC,2,2,High,6,0.0107,0.0166,0.79,1.2,,,,0.027299999999999998,-3.600868576791223,0,Ambient,0,0,1,CO2Amb_WH
26,27,CEOC,3,3,High,2,0.0178,0.0269,1.5,1.5,,,,0.044700000000000004,-3.107781777362614,1,High,0,0,1,CO2High_WH
29,30,CEOC,3,2,High,4,0.0413,0.073,0.83,2.6,,,,0.1143,-2.168928708181372,1,High,0,0,1,CO2High_WH
31,32,CEOC,3,1,High,6,0.0331,0.0284,1.17,1.9,,,,0.0615,-2.7887181041696647,1,High,0,0,1,CO2High_WH
