Pot #,Species ID,CO2 level,Water,Aboveground Biomass (g),Belowground Biomass (g),Reproductive Biomass (g),# flowers,# fruits,# transplanted w/leaf,# transplanted w/radicle,Comment
19,MIGU,Ambient,Fluct,0.1255,0.0683,0.0789,10,,8,0,
42,MIGU,Ambient,Fluct,0.0349,0.0177,0.0568,3,6,10,0,
53,MIGU,Ambient,Fluct,0.0556,0.0432,0.0312,7,,1,0,
105,MIGU,Ambient,Fluct,0.1489,0.1361,0.097,12,,10,0,
140,MIGU,Ambient,Fluct,0.1629,0.1291,0.1041,2,12,8,0,
177,MIGU,Ambient,Fluct,0.1137,0.0328,0.0693,15,,1,0,
31,MIGU,Ambient,High,0.1599,0.1961,,,,10,0,
65,MIGU,Ambient,High,0.0275,0.0612,,,,10,0,
68,MIGU,Ambient,High,0.1192,0.1982,0.0042,,1,2,0,Germinated after removal from GC
91,MIGU,Ambient,High,0.0317,0.0675,0.0221,,4,10,0,
131,MIGU,Ambient,High,0.1095,0.0817,0.0572,2,6,10,0,
168,MIGU,Ambient,High,0.0864,0.0424,0.0582,7,,10,0,
24,MIGU,Ambient,Low,,,,,,1,0,dead - no plant
36,MIGU,Ambient,Low,,,,,,0,0,dead - no plant
41,MIGU,Ambient,Low,,,,,,0,0,dead - no plant
97,MIGU,Ambient,Low,,,,,,1,0,dead - no plant
130,MIGU,Ambient,Low,,,,,,0,0,dead - no plant
178,MIGU,Ambient,Low,0.1368,0.0961,0.0498,5,,0,0,
2,MIGU,High,Fluct,0.0419,0.0646,0.0381,6,,10,0,
34,MIGU,High,Fluct,0.1169,0.2192,,,,10,0,
38,MIGU,High,Fluct,0.1167,0.0996,,,,4,0,
96,MIGU,High,Fluct,0.0833,0.0404,0.0604,8,,10,0,
108,MIGU,High,Fluct,0.0346,0.0103,0.0311,4,,10,0,
145,MIGU,High,Fluct,0.122,0.0932,0.0488,5,,10,0,
9,MIGU,High,High,0.0772,0.1365,0.0201,3,,9,0,
48,MIGU,High,High,0.0975,0.1195,0.018,3,,10,0,
59,MIGU,High,High,0.1077,0.1283,0.0466,5,,2,0,
92,MIGU,High,High,0.1004,0.2558,,,,3,0,
110,MIGU,High,High,0.0837,0.1566,0.0389,6,,10,0,
133,MIGU,High,High,0.1861,0.6472,0.0055,1,,7,0,
32,MIGU,High,Low,0.1071,0.2802,0.0583,8,,0,0,
67,MIGU,High,Low,,,,,,0,0,dead - no plant
79,MIGU,High,Low,,,,,,0,0,dead - no plant
113,MIGU,High,Low,,,,,,0,0,dead - no plant
126,MIGU,High,Low,,,,,,1,0,dead - no plant
165,MIGU,High,Low,0.1883,0.0583,0.1027,10,,9,0,
63,NAOF,Ambient,Fluct,0.1237,0.0721,0.0536,10,6,2,5,
111,NAOF,Ambient,Fluct,0.179,0.1263,0.0733,18,10,6,3,
124,NAOF,Ambient,Fluct,0.0528,0.0699,0.0722,7,10,3,7,
144,NAOF,Ambient,Fluct,0.1608,0.0496,0.0487,4,8,5,5,
154,NAOF,Ambient,Fluct,0.182,0.0857,0.0401,15,2,10,0,
167,NAOF,Ambient,Fluct,0.1239,0.0543,0.0401,15,2,11,0,
22,NAOF,Ambient,High,0.258,0.1365,0.1084,13,10,10,0,
30,NAOF,Ambient,High,0.0876,0.0486,0.0163,7,1,10,0,
52,NAOF,Ambient,High,0.1745,0.0732,0.0491,11,2,10,0,
70,NAOF,Ambient,High,0.0716,0.0667,0.0443,6,8,10,0,
132,NAOF,Ambient,High,0.156,0.0519,0.0462,16,3,10,0,
162,NAOF,Ambient,High,0.1051,0.1102,,6,7,13,0,"8 seedlings already in soil, not transplanted, repr biomass not found"
3,NAOF,Ambient,Low,0.462,0.1135,0.1197,19,18,0,0,
23,NAOF,Ambient,Low,,,,,,0,0,dead - no plant
46,NAOF,Ambient,Low,,,,,,0,0,Germinated after removal from GC
87,NAOF,Ambient,Low,0.1366,0.2061,0.1753,20,19,1,2,
120,NAOF,Ambient,Low,0.6867,0.1897,0.1325,40,21,1,0,
123,NAOF,Ambient,Low,0.3212,0.0959,0.1477,15,17,1,2,
1,NAOF,High,Fluct,0.1667,0.1001,0.0564,5,11,3,7,
7,NAOF,High,Fluct,0.1071,0.1497,0.0401,4,6,10,0,
37,NAOF,High,Fluct,0.1481,0.2796,0.0353,13,2,3,7,
62,NAOF,High,Fluct,0.1323,0.1195,0.0638,4,10,7,0,
117,NAOF,High,Fluct,0.076,0.0886,0.047,5,7,2,6,
125,NAOF,High,Fluct,0.1503,0.1521,0.1115,16,14,3,6,
45,NAOF,High,High,0.2227,0.0944,0.0435,15,7,5,5,
84,NAOF,High,High,0.0989,0.0394,0.0202,7,5,4,6,
99,NAOF,High,High,0.1,0.0378,0.0252,9,,7,3,
135,NAOF,High,High,0.1576,0.0786,0.0483,11,9,9,2,
142,NAOF,High,High,0.0531,0.2263,0.0177,3,4,10,0,
156,NAOF,High,High,0.1351,0.0318,0.0293,10,,10,0,
12,NAOF,High,Low,0.0562,0.0612,0.0136,6,3,1,0,
33,NAOF,High,Low,0.262,0.1026,0.1044,25,7,0,0,
77,NAOF,High,Low,0.134,0.1412,0.0583,16,8,10,2,
81,NAOF,High,Low,0.1354,0.0741,0.0623,7,8,0,0,
129,NAOF,High,Low,0.1486,0.1655,0.123,9,9,0,0,
169,NAOF,High,Low,0.094,0.0619,0.0456,12,4,1,3,
80,POMO,Ambient,Fluct,0.7179,1.3124,,,,10,0,
141,POMO,Ambient,Fluct,0.4385,0.7409,,,,10,0,
148,POMO,Ambient,Fluct,0.4507,1.059,,,,10,0,
164,POMO,Ambient,Fluct,0.5178,0.9119,,,,10,0,
172,POMO,Ambient,Fluct,0.6724,1.4142,0.0382,2,,10,0,
173,POMO,Ambient,Fluct,0.4472,1.1038,,,,10,0,
