"","model_type","df","AIC","species"
"1","null_model",2,-21.5312451631681,"MIGU"
"2","model",7,-18.6492280348449,"MIGU"
"3","null_model",2,-30.3986550130523,"NAOF"
"4","model",7,-45.5383809987496,"NAOF"
"5","null_model",2,88.6293234760695,"POMO"
"6","model",7,93.3739024817663,"POMO"
"7","null_model",2,31.0760231575248,"VEAN"
"8","model",7,31.0973102363234,"VEAN"
"9","null_model",4,-135.96906966882,"CEOC"
"10","model_no_randomeff",7,-128.950363057724,"CEOC"
"11","model",9,-131.912887932984,"CEOC"
"12","null_model",4,112.421524356689,"POFR"
"13","model_no_randomeff",7,117.043785442544,"POFR"
"14","model",9,108.166577597419,"POFR"
"15","null_model",4,96.9396928568213,"SAGO"
"16","model_no_randomeff",7,92.15410111122,"SAGO"
"17","model",9,92.2604765243009,"SAGO"
"18","null_model",4,36.8490312288066,"TACH"
"19","model_no_randomeff",7,38.3130716388637,"TACH"
"20","model",9,37.400663731511,"TACH"
