"","Name","Model","AIC","AIC_wt","AICc","AICc_wt","BIC","BIC_wt","RMSE","Sigma","R2_conditional","R2_marginal","R2","R2_adjusted","species"
"1","null_model","lmerModLmerTest",19.8146958926137,0.882947184069788,21.1940062374413,0.986637954858556,25.9201379910783,0.993965910302737,0.201143745189611,0.231852673433596,NA,0,NA,NA,"CEOC"
"2","model_no_randomeff","lm",26.2651011624551,0.0350951431710961,30.5727934701474,0.00906943112876496,36.9496248347683,0.00400266139551987,0.289798507717248,0.319342402029707,NA,NA,0.167492546054238,0.0188305007067811,"CEOC"
"3","model","lmerModLmerTest",24.5688208056027,0.0819576727591163,32.0688208056027,0.00429261401267878,38.3060655271481,0.00203142830174367,0.191044681314879,0.218590361002979,NA,0.280731918334899,NA,NA,"CEOC"
"4","null_model","lmerModLmerTest",-3.55055370126933,0.181773534442661,-2.26023112062417,0.64948202505555,2.78352205255511,0.842632888900058,0.157754915732628,0.176520400448815,0.339653504200237,0,NA,NA,"POFR"
"5","model_no_randomeff","lm",-4.1721969284496,0.248038309893909,-0.172196928449605,0.22864213788766,6.91243564074317,0.106919325984385,0.187996833907619,0.20594021334151,NA,NA,0.25098998892274,0.12615498707653,"POFR"
"6","model","lmerModLmerTest",-5.83696331724948,0.570188155663431,1.08611360582744,0.121875837056789,8.4147071288555,0.0504477851155573,0.12620651033073,0.143574075690793,NA,0.371445545463045,NA,NA,"POFR"
"7","null_model","lmerModLmerTest",3.7136339869093,0.243008547092246,5.04696732024263,0.691934677791841,9.93502623286695,0.850757064751537,0.206581081332479,0.214607528533805,NA,0,NA,NA,"SAGO"
"8","model_no_randomeff","lm",2.95843339091652,0.354495947366868,7.10658153906467,0.247073149720126,13.8458698213424,0.120386189753766,0.206661064125501,0.227035455220785,NA,NA,0.232581951117156,0.100268494413218,"SAGO"
"9","model","lmerModLmerTest",2.70445935791505,0.402495505540887,9.90445935791505,0.0609921724880324,16.7025919113198,0.028856745494697,0.172932864375825,0.180590140000597,NA,0.292016479003344,NA,NA,"SAGO"
"10","null_model","lmerModLmerTest",14.5384595537444,0.868803943993287,15.8287821343896,0.982745044089685,20.8725353075688,0.993975398779331,0.195009941879864,0.220557047251579,0.416083531029023,0,NA,NA,"TACH"
"11","model_no_randomeff","lm",20.8308354376395,0.0373722909749736,24.8308354376395,0.0109061087689167,31.9154680068323,0.00397587999899507,0.266051383236588,0.291444688108262,NA,NA,0.150350201349053,0.00874190157389476,"TACH"
"12","model","lmerModLmerTest",18.9898581663181,0.0938237650317391,25.912935089395,0.00634884714139798,33.2415286124231,0.00204872122167373,0.17809714085018,0.202569943327988,0.509545576309023,0.153984921839252,NA,NA,"TACH"
