,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,ag2,bg2,total_biomass,co2_lvl,water_low,water_fluct,water_high
7,8,CEOC,1,3,A,2,0.0127,0.0713,0.9,,,0.084,0,0,1,0
10,11,CEOC,1,2,A,4,0.0059,0.0045,0.52,,,0.0104,0,0,1,0
13,14,CEOC,1,1,A,6,0.0186,0.034,1.25,,,0.0526,0,0,1,0
15,16,CEOC,2,2,A,1,0.0358,0.0233,1.02,,,0.0591,0,0,1,0
18,19,CEOC,2,3,A,3,0.0129,0.0126,0.9,,,0.025500000000000002,0,0,1,0
21,22,CEOC,2,1,A,5,0.017,0.0187,0.91,,,0.0357,0,0,1,0
23,24,CEOC,3,2,A,1,0.0655,0.0555,1.01,,,0.121,1,0,1,0
25,26,CEOC,3,3,A,2,0.0578,0.0247,0.91,,,0.08249999999999999,1,0,1,0
28,29,CEOC,3,1,A,4,0.0169,0.0097,0.59,,,0.0266,1,0,1,0
35,36,CEOC,4,3,A,3,0.0168,0.008,0.76,,,0.0248,1,0,1,0
38,39,CEOC,4,2,A,5,0.0278,0.0294,0.98,0.0381,0.0345,0.0572,1,0,1,0
40,41,CEOC,4,1,A,6,0.0284,0.0715,1.09,,,0.09989999999999999,1,0,1,0
5,6,CEOC,1,2,H,1,0.0077,0.0078,0.78,,,0.0155,0,0,0,1
8,9,CEOC,1,1,H,3,0.0073,0.031,0.8,,,0.0383,0,0,0,1
11,12,CEOC,1,3,H,5,0.0091,0.0584,0.9,,,0.0675,0,0,0,1
16,17,CEOC,2,1,H,2,0.0047,0.0061,0.62,,,0.0108,0,0,0,1
22,23,CEOC,2,2,H,6,0.0107,0.0166,0.79,,,0.027299999999999998,0,0,0,1
26,27,CEOC,3,3,H,2,0.0178,0.0269,1.5,,,0.044700000000000004,1,0,0,1
29,30,CEOC,3,2,H,4,0.0413,0.073,0.83,,,0.1143,1,0,0,1
31,32,CEOC,3,1,H,6,0.0331,0.0284,1.17,,,0.0615,1,0,0,1
33,34,CEOC,4,3,H,1,0.033,0.0522,1.04,,,0.0852,1,0,0,1
36,37,CEOC,4,2,H,3,0.018,0.0098,0.74,0.055,0.0188,0.0278,1,0,0,1
39,40,CEOC,4,1,H,5,0.0086,0.0067,0.71,,,0.015300000000000001,1,0,0,1
6,7,CEOC,1,3,L,2,0.0205,0.0852,1.01,,,0.1057,0,1,0,0
9,10,CEOC,1,2,L,4,0.004,0.0057,0.56,,,0.0097,0,1,0,0
12,13,CEOC,1,1,L,6,0.0155,0.019,0.89,,,0.0345,0,1,0,0
17,18,CEOC,2,2,L,3,0.025,0.0323,1.03,,,0.057300000000000004,0,1,0,0
20,21,CEOC,2,1,L,5,0.0195,0.0281,0.86,,,0.0476,0,1,0,0
24,25,CEOC,3,1,L,2,0.007,0.0097,0.73,,,0.0167,1,1,0,0
27,28,CEOC,3,3,L,4,0.0137,0.0717,1.06,,,0.0854,1,1,0,0
30,31,CEOC,3,2,L,6,0.0498,0.0551,1.16,,,0.1049,1,1,0,0
32,33,CEOC,4,3,L,1,0.0236,0.0268,1,,,0.0504,1,1,0,0
34,35,CEOC,4,1,L,3,0.0362,0.0665,1.14,,,0.10270000000000001,1,1,0,0
37,38,CEOC,4,2,L,5,0.0209,0.0528,0.96,,,0.0737,1,1,0,0
42,43,POFR,1,3,A,1,0.8334,0.308,1.89,,,1.1414,0,0,1,0
45,46,POFR,1,2,A,3,0.8843,0.7233,2.27,,,1.6076000000000001,0,0,1,0
49,50,POFR,1,1,A,6,0.4018,0.159,1.49,,,0.5608,0,0,1,0
51,52,POFR,2,2,A,2,1.1353,0.4012,2.66,,,1.5365,0,0,1,0
