Number,Species,Chamber,Shelf,Water,Rep #,Shoot (g),Root (g),Diam (mm),Stem Len (cm),Root L (cm),Shoot2 (g),Root2 (g)
1,ALCE,1,B,L,2,0.024,0.0175,0.73,4.5,2.5,,
2,ALCE,2,TL,L,1,0.0254,0.2474,0.89,2.5,,,
3,ALCE,2,TR,L,3,0.0019,<.0000,<.5,,,,
4,ALCE,4,TL,L,4,0.0009,0.0012,0.34,1.7,,,
5,ALCE,4,TR,L,6,0.0056,<.0000,0.31,2.5,0.7,,
6,CEOC,1,TL,H,1,0.0077,0.0078,0.78,1,,,
7,CEOC,1,TR,L,2,0.0205,0.0852,1.01,2.7,,,
8,CEOC,1,TR,A,2,0.0127,0.0713,0.9,1.5,,,
9,CEOC,1,B,H,3,0.0073,0.031,0.8,1,,,
10,CEOC,1,TL,L,4,0.004,0.0057,0.56,1.3,,,
11,CEOC,1,TL,A,4,0.0059,0.0045,0.52,1.7,,,
12,CEOC,1,TR,H,5,0.0091,0.0584,0.9,1.2,,,
13,CEOC,1,B,L,6,0.0155,0.019,0.89,1.4,,,
14,CEOC,1,B,A,6,0.0186,0.034,1.25,2,,,
15,CEOC,2,TR,L,1,NO PLANT,,,,,,
16,CEOC,2,TL,A,1,0.0358,0.0233,1.02,3,,,
17,CEOC,2,B,H,2,0.0047,0.0061,0.62,1.2,2.4,,
18,CEOC,2,TL,L,3,0.025,0.0323,1.03,3.2,,,
19,CEOC,2,TR,A,3,0.0129,0.0126,0.9,1.9,,,
20,CEOC,2,TR,H,4,NO PLANT,,,,,,
21,CEOC,2,B,L,5,0.0195,0.0281,0.86,1.8,,,
22,CEOC,2,B,A,5,0.017,0.0187,0.91,1.7,,,
23,CEOC,2,TL,H,6,0.0107,0.0166,0.79,1.2,,,
24,CEOC,3,TL,A,1,0.0655,0.0555,1.01,4.4,,,
25,CEOC,3,B,L,2,0.007,0.0097,0.73,0.8,,,
26,CEOC,3,TR,A,2,0.0578,0.0247,0.91,3.6,,,
27,CEOC,3,TR,H,2,0.0178,0.0269,1.5,1.5,,,
28,CEOC,3,TR,L,4,0.0137,0.0717,1.06,1.8,,,
29,CEOC,3,B,A,4,0.0169,0.0097,0.59,1.8,,,
30,CEOC,3,TL,H,4,0.0413,0.073,0.83,2.6,,,
31,CEOC,3,TL,L,6,0.0498,0.0551,1.16,3.8,,,
32,CEOC,3,B,H,6,0.0331,0.0284,1.17,1.9,,,
33,CEOC,4,TR,L,1,0.0236,0.0268,1,2.9,,,
34,CEOC,4,TR,H,1,0.033,0.0522,1.04,4.3,,,
